File Name,FAKE Accuracy_pred,FAKE Accuracy_ref,FAKE bleu_score,FAKE meteor_score,FAKE rouge_1,FAKE rouge_l,FCT Accuracy_pred,FCT Accuracy_ref,FCT bleu_score,FCT meteor_score,FCT rouge_1,FCT rouge_l,NOTA Accuracy_pred,NOTA Accuracy_ref,NOTA bleu_score,NOTA meteor_score,NOTA rouge_1,NOTA rouge_l,Accuracy_pred,Accuracy_ref,bleu_score,meteor_score,rouge_1,rouge_l,model,bleu_acc,rouge1_acc,bluert_acc
Quantize_base.csv,0.91330528,0.916442411,0.909311769,0.919286104,0.913316342,0.913316342,0.110814913,0.308567111,0.021119936,0.191880961,0.155057721,0.15225481,0.051823526,0.119474186,0.010891141,0.067031329,0.045798262,0.044796116,,,,,,,,,,
non_Quantize_base.csv,0.018201815,0.117330463,0.010397564,0.139835757,0.025553855,0.025538905,0.04001331,0.505427051,0.013203072,0.159223295,0.093534178,0.091357279,0.037629403,0.3916702,0.004291953,0.104100596,0.077603375,0.075327597,,,,,,,,,,
Non-quantize_base.csv,,,,,,,,,,,,,,,,,,,0.6597229,0.694496644,1.23E-231,0.334868077,0.662240854,0.662240854,,,,
Quantize_base.csv,,,,,,,,,,,,,,,,,,,0.662208342,0.681342282,1.22E-231,0.333719888,0.663506978,0.663506978,,,,
L1.csv,,,,,,,,,,,,,,,,,,,0.596359249,0.724362416,1.19E-231,0.322295373,0.609007859,0.609007859,,,,
L2.csv,,,,,,,,,,,,,,,,,,,0.322751282,0.669530201,8.84E-232,0.227978379,0.356714719,0.356714719,,,,
L3.csv,,,,,,,,,,,,,,,,,,,0.36056201,0.763154362,9.35E-232,0.219491793,0.378312948,0.378312948,,,,
L4.csv,,,,,,,,,,,,,,,,,,,0.073499697,0.723758389,5.79E-232,0.09793368,0.100309531,0.100309531,,,,
L5.csv,,,,,,,,,,,,,,,,,,,0.541974514,0.756644295,1.16E-231,0.305249809,0.559011651,0.559011651,,,,
L6.csv,,,,,,,,,,,,,,,,,,,0.147337628,0.62966443,6.05E-232,0.121576907,0.167855449,0.167855449,,,,
L7.csv,,,,,,,,,,,,,,,,,,,0.147337628,0.62966443,6.05E-232,0.121576907,0.167855449,0.167855449,,,,
L8.csv,,,,,,,,,,,,,,,,,,,0.743651787,0.745771812,1.36E-231,0.372287297,0.743896579,0.743896579,,,,
L9.csv,,,,,,,,,,,,,,,,,,,0.696679961,0.717583893,1.29E-231,0.353586126,0.699708757,0.699708757,,,,
L10_Last_model.csv,,,,,,,,,,,,,,,,,,,0.662208342,0.681342282,1.22E-231,0.333719888,0.663506978,0.663506978,,,,
L10_best_model.csv,,,,,,,,,,,,,,,,,,,0.6597229,0.694496644,1.23E-231,0.334868077,0.662240854,0.662240854,,,,
L11.csv,,,,,,,,,,,,,,,,,,,0.305356685,0.740671141,8.51E-232,0.196155912,0.327644806,0.327644806,,,,
Q1.csv,,,,,,,,,,,,,,,,,,,0.731414785,0.739328859,1.34E-231,0.367559074,0.732526938,0.732526938,,,,
Q2.csv,,,,,,,,,,,,,,,,,,,0.732310965,0.735704698,1.34E-231,0.366729529,0.732543469,0.732543469,,,,
Q3.csv,,,,,,,,,,,,,,,,,,,0.669461135,0.757718121,1.29E-231,0.347329381,0.675460218,0.675460218,,,,
Q4.csv,,,,,,,,,,,,,,,,,,,0.722568441,0.725302013,1.32E-231,0.361823417,0.722858508,0.722858508,,,,
Q5.csv,,,,,,,,,,,,,,,,,,,0.735494166,0.743020134,1.35E-231,0.369010485,0.736143702,0.736143702,,,,
Q6.csv,,,,,,,,,,,,,,,,,,,0.719910045,0.740067114,1.33E-231,0.363425874,0.721781818,0.721781818,,,,
Q7.csv,,,,,,,,,,,,,,,,,,,0.701814301,0.705369128,1.28E-231,0.351310394,0.702091898,0.702091898,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Non-quantize base,0.47123623,0.503059976,0.574051408
,,,,,,,,,,,,,,,,,,,,,,,,,Quantize base,0.457772338,0.485924113,0.563035496
,,,,,,,,,,,,,,,,,,,,,,,,,L1,0.454100367,0.46878825,0.52998776
,,,,,,,,,,,,,,,,,,,,,,,,,L2,0.451652387,0.463892289,0.515299878
,,,,,,,,,,,,,,,,,,,,,,,,,L3,0.500611995,0.520195838,0.560587515
,,,,,,,,,,,,,,,,,,,,,,,,,L4,0.458996328,0.47001224,0.514075887
,,,,,,,,,,,,,,,,,,,,,,,,,L5,0.458996328,0.466340269,0.518971848
,,,,,,,,,,,,,,,,,,,,,,,,,L6,0.488372093,0.495716034,0.569155447
,,,,,,,,,,,,,,,,,,,,,,,,,L7,0.47001224,0.481028152,0.550795594
,,,,,,,,,,,,,,,,,,,,,,,,,L8,0.430844553,0.427172583,0.488372093
,,,,,,,,,,,,,,,,,,,,,,,,,L9,0.449204406,0.462668299,0.520195838
,,,,,,,,,,,,,,,,,,,,,,,,,L10_best,0.462668299,0.476132191,0.500611995
,,,,,,,,,,,,,,,,,,,,,,,,,L10_last,0.454100367,0.457772338,0.505507956
,,,,,,,,,,,,,,,,,,,,,,,,,Q1,0.47123623,0.473684211,0.52753978
,,,,,,,,,,,,,,,,,,,,,,,,,Q2,0.446756426,0.457772338,0.516523868
,,,,,,,,,,,,,,,,,,,,,,,,,Q3,0.473684211,0.487148103,0.547123623
,,,,,,,,,,,,,,,,,,,,,,,,,Q4,0.427172583,0.440636475,0.510403917
,,,,,,,,,,,,,,,,,,,,,,,,,Q5,0.425948592,0.446756426,0.503059976
,,,,,,,,,,,,,,,,,,,,,,,,,Q6,0.445532436,0.458996328,0.504283966
,,,,,,,,,,,,,,,,,,,,,,,,,Q7,0.408812729,0.428396573,0.454100367
