question,type,answer,prediction,meteor_score,bleu_score,rouge_1,rouge_2,rouge_l,Accuracy_pred,Accuracy_ref,Token_count
"A 13-year-old boy is brought to the emergency department because he was vomiting and seemed abnormally sleepy at home. On presentation, he is found to be confused and very lethargic. His parents said that he has had a fever and cough for several days prior to presentation and was given an over the counter medication. Physical exam of this patient reveals mild hepatomegaly and dry mucous membranes. Which of the following effects would the drug most likely also have on the nephron?",FCT,Constriction of afferent arteriole and no effect on efferent arteriole,"The correct answer is: No effect on afferent arteriole and constriction of efferent arteriole

The student's answer is correct. The medication is acetaminophen (Tylenol) and it is known to cause constriction of the afferent arteriole, which is a vasoconstrictor effect, and constriction of the efferent arteriole, which is an antidiuretic effect.",0.552333333,1.36E-78,0.358974355,0.150943393,0.256410253,0.057692308,0.3,360
Which of the following tooth shows C shaped canal,FCT,Mandibular 1st premolar,"Correct answer: Mandibular 2nd premolar.

Explanation: C-shaped canal is seen in mandibular 2nd premolar.",0.222222222,1.05E-231,0.266666663,0,0.266666663,0.066666667,0.333333333,198
When is folic acid staed in pregnancy ?,FCT,4 weeks prior to conception,"The student's answer is correct.

Folic acid supplementation should be staed at least 4 weeks prior to conception.",0.754545455,0.170010781,0.434782605,0.380952378,0.434782605,0.263157895,1,175
Which of the following drugs do not belong Fibrinolysis of the antagonist?,FCT,Hirudin,"The correct answer is Aminocaproic acid.

Aminocaproic acid is an antifibrinolytic agent that inhibits fibrinolysis by binding to plasminogen and blocking its conversion to plasmin. It is used to prevent bleeding in patients with hemophilia and in surgery to prevent excessive bleeding.

The other options are all fibrinolytic agents that promote fibrinolysis. Hirudin is a direct thrombin inhibitor. Tranexamic acid is a synthetic antifibrinolytic agent that inhibits fibrinolysis by binding to thrombin. Aprotinin is a ser",0.054945055,6.05E-232,0.041666666,0,0.041666666,0.013157895,1,180
Most common cyst associated with adjoining vital teeth?,FCT,Dentigerous cyst,The correct answer is: Globulomaxillary cyst,0.2,1.12E-231,0.249999996,0,0.249999996,0.166666667,0.5,179
Metastasis not found in,FCT,Fibula,"The correct answer is Spine.

Metastasis is most commonly found in spine.",0,0,0,0,0,0,0,154
Trendelenberg’s operation is done for?,FCT,Varicose veins,"Correct answer: Obturator hernia

Explanation: Trendelenburg operation is done for Obturator hernia.",0,0,0,0,0,0,0,171
Decrease extracellular calcium leads to?,FCT,Decrease membranes stability,"The student's answer is correct.

Decrease extracellular calcium leads to: Decrease excitability, decrease membrane stability, and increase amount of depolarization needed.

So, the correct answer is: All of the above.",0.446127946,8.67E-232,0.07142857,0,0.07142857,0.032258065,0.333333333,169
"68. ketoacidosis body of the patient ketone bodies (ketone body) is constituted by those of the following substances? ① acetyl acetic acid (acetoacetate) ②β- hydroxybutyric acid (β-hydroxybutyrate) ③ acetone (acetone) ④α- oxoglutarate (α-ketoglutarate)
",FCT,Only ①②③,The student's answer is correct.,0,0,0,0,0,0,0,248
"In a communicative interaction directed to the psychological evaluation we can say, as a general criterion, that the final computation of words of the evaluator must be:",FCT,Lower than the evaluated.,"The correct answer is: The maximum possible.

Explanation: The final computation of words of the evaluator must be 3.",0.375816993,9.89E-232,0.099999997,0,0.099999997,0.052631579,0.25,191
Meiosis occurs in,FCT,Adult ovary,"The correct answer is: All

Explanation: Meiosis occurs in the ovary and testis. Meiosis occurs in the ovary at bih in females and in the testis in both prepuceal and adult males.
Ref: Ganong's review of medical physiology; 24th edition; page no:- 384",0.14084507,6.75E-232,0.060606059,0,0.060606059,0.022727273,0.5,155
"A 59-year-old man is evaluated for progressive joint pain. There is swelling and tenderness over the first, second, and third metacarpophalangeal joints of both hands. His hand radiograph is shown. He has had diabetes mellitus for 2 years which is not well controlled with medications. Lab studies show a transferrin saturation of 88% and serum ferritin of 1,200 ng/mL. Which of the following best represents the etiology of this patient condition?",FCT,Deposition of calcium pyrophosphate (CPP) crystals,"The correct answer is Pathogenic inoculation of microbes.

Explanation:
The patient has gouty tophi. The diagnosis is supported by the presence of monosodium urate crystals on X-ray. The patient's diabetes is not relevant to the diagnosis. The patient's hyperuricemia is due to underexcretion of uric acid. The patient has gout.",0.076335878,7.82E-232,0.099999997,0,0.099999997,0.018867925,0.166666667,283
"A ""leukoerythroblastic reaction"" is defined as the presence in blood of precursor myeloid cells (myelocytes and metamyelocytes), nucleated red cells (erythroblasts) and dacryocytes or cells in tears. What disease frequently presents this finding in the peripheral blood in its advanced phase as a reflection of its pathogenesis ?:",FCT,Primary myelofibrosis,"Correct answer is: Chronic myeloid leukemia

The correct answer is Chronic myeloid leukemia.",0,0,0,0,0,0,0,243
Cytokines associated with periapical lesions,FCT,IL-1,"Correct answer: TNF-α

Evaluation: Correct.",0,0,0,0,0,0,0,164
What is the major lipid component of VLDL ?:,FCT,Triacylglycerols,"The correct answer is: Fatty acids.

The student's answer is correct.

The major lipid component of VLDL is triacylglycerols.",0.151515152,0,0,0,0,0.05,1,170
The organism which is involved in anaerobic infections of head and neck region is,FCT,Bacteroids,"Correct answer: Staphylococcus aureus

Explanation: Ans. Staphylococcus aureus
The organisms most commonly involved in anaerobic infections of head and neck region are:-
1. Staphylococcus aureus
2. Staphylococcus epidermidis
3. Streptococcus pyogenes
4. Bacteroides fusiformis
5. Actinomyces israelii.",0.087719298,0,0,0,0,0,0,183
Normal WBC count,FCT,"4,000-11,000","Correct answer: 1000-3000

Evaluation of the answer:
The answer is correct.",0,0,0,0,0,0,0,173
"A patient has an infectious process associated with maxillary right Lateral incisor that tooth is deeply carious and non-restorable. His temperature is 102°F. The patient has not been able to chew for the past 24 hours. The right side of the face is swollen. The patient cannot open his right eye, on palpation the area is soft, painful to touch and tissue rebound when palpated; treatment for the patient should be",FCT,Aspiration,"The correct answer is: Antibiotics, heat and fluid

The patient has an infectious process with maxillary right lateral incisor tooth, which is non-restorable. He is febrile, has difficulty in eating, and has swelling on the right side of the face. The patient cannot open his right eye and has pain on palpation of the area. The treatment for the patient should be antibiotics, heat, and fluid.",0,0,0,0,0,0,0,253
"The relevant characteristics Bruton agammaglobulinemia, which of the following error?",FCT,"Is autosomal dominant inheritance (autosomal dominant inheritance) disease, and CD19 positive blood B cells are usually less than 1%","Correct answer: Repeated bacterial infections often appear in infancy after 6 months

The relevant characteristics Bruton agammaglobulinemia, which of the following error?

Options:
- 0: Is autosomal dominant inheritance (autosomal dominant inheritance) disease, and CD19 positive blood B cells are usually less than 1%
- 1: Serum IgG, IgA, IgE concentrations are low
- 2: Likely to have repeated bacterial pneumonia, otitis media and sinusitis
- 3: Repeated bacterial infections often appear in infancy after 6 months
- 4: Repeated bacterial infections often",0.735819217,0.220228688,0.455696199,0.409090906,0.455696199,0.243589744,1,260
Inheritance associated with congenital adrenal hyperplasia -,FCT,AR,"Correct answer: AD

Explanation: The answer is (1) AD. The genetic basis of congenital adrenal hyperplasia is autosomal recessive inheritance. The most common form of CAH is 21-hydroxylase deficiency which is due to mutations in the CYP21 gene. The gene for this enzyme is located on the X chromosome. So, it is an X-linked recessive disorder.",0,0,0,0,0,0,0,147
Nasal antrostomy usually done from through,FCT,Inferior meatus,"Correct answer: Inferior concha

Justification: Nasal antrostomy is a surgical opening in the nasal cavity for drainage of the maxillary sinus. It is usually done through the inferior concha.",0.098039216,7.60E-232,0.074074073,0,0.074074073,0.034482759,0.5,170
Rotation speed of profile instruments,FCT,150-300 RPM,"The student's answer is correct.

The correct answer is 300-500 RPM.",0.15625,9.42E-232,0.222222219,0,0.222222219,0.076923077,0.333333333,164
"8.5, the urine will usually train Proteus bacteria such as Proteus mirabilis following the narrative about Wegener's granulomatosis, whichever is the most correct?",FCT,Blacks than whites common,"Correct answer: Blood can be measured antiproteinase-3 antibody

Justification: Wegener's granulomatosis is an autoimmune disease that is characterized by granulomatous inflammation of the respiratory tract, glomerulonephritis, and vasculitis. The disease is typically associated with the presence of antineutrophil cytoplasmic antibodies (ANCA) in the blood, which can be directed against the proteinase 3 enzyme or the myeloperoxidase enzyme. The presence of ANCA is an important diagnostic marker for Wegener's granulomatosis.",0,0,0,0,0,0,0,250
ORS contains 75 mEq/l-,FCT,Sodium,"Correct answer: Glucose

Explanation: ORS contains 75 mEq/l of glucose.",0,0,0,0,0,0,0,152
True about high altitude acclimatization?,FCT,Increased erythropoietin,"Correct answer: Decreased RBC count

Explanation: At high altitude, there is increased erythropoiesis and increased RBC count, not decreased RBC count.",0.113636364,0,0,0,0,0.047619048,0.5,178
Which of the following is not commonly used in the treatment of such diseases surgery?,FCT,Bowel resection and anastomosis lesions,"Correct answer: ""second-look operation""

Explanation: The correct answer is ""second-look operation"". This is because the question asks which option is not commonly used in the treatment of such diseases surgery. The other options are all commonly used in the treatment of gastrointestinal cancers.",0,0,0,0,0,0,0,202
The fibroids of the uterine body that remain in the thickness of the myometrium are called:,FCT,Intramurals,"The student's answer is correct.

The correct answer is Submucosal.

The correct answer is Submucosal.

Explanation: Submucosal fibroids are those that are embedded in the thickness of the myometrium.",0,0,0,0,0,0,0,177
Punishment of perjury comes under IPC section?,FCT,IPC 193,"Correct answer: IPC 197

Explanation: IPC 197. Issuing or giving a false certificate of a doctor. IPC 192. Fabrication of false evidence. IPC 191. Giving false evidence. IPC 193. Punishment for perjury.",0.3125,2.75E-155,0.166666665,0.068965517,0.166666665,0.0625,1,161
Visceral swallowing is also known as:,FCT,Infantile swallowing,Correct answer: Oesophageal swallowing,0.217391304,1.22E-231,0.333333329,0,0.333333329,0.25,0.5,166
The structure called leucine zipper is found in certain proteins and is a domain:,FCT,Protein-protein interaction in proteins that regulate expression.,"Correct answer is: Interaction with DNA through the minor groove.

Explanation: The leucine zipper is a DNA-binding domain found in proteins that are transcription factors. It is a region of the protein that binds to DNA and is characterized by the repeating motif of leucine residues spaced by an invariant distance of seven amino acids. It is used for dimerization of transcription factors.",0.263829787,8.67E-79,0.111111109,0.06153846,0.111111109,0.046875,0.375,227
"Which of the following cells are most increased in number
in the connective tissue wall of a periodontal pocket?",FCT,Plasma cells,"Correct answer: Leukocytes

Explanation: The connective tissue wall of a periodontal pocket contains a mixture of inflammatory cells. The most abundant cell type is the leukocyte, primarily polymorphonuclear leukocytes (neutrophils) and monocytes.",0.087719298,7.29E-232,0.064516128,0,0.064516128,0.03125,0.5,187
"It is known that tin is a silvery-shiny metal which, if kept for a long time below 13 ° C, becomes a much less dense gray solid. This is due to:",FCT,The transition β α tin.,"The student's answer is correct.

The correct answer is: Its corrosion in SnO2 · nH2O.

Explanation:
The student's answer is correct. The metal tin is known to undergo corrosion in the form of tin(II) oxide (SnO) when exposed to air at room temperature.",0.136363636,8.76E-232,0.114285712,0,0.114285712,0.022222222,0.2,224
"When the compound following hydrolysis, get the maximum negative free energy change?",FCT,UDP-glucose (UDP-glucose),"The student's answer is correct.

The free energy change of a reaction is at its maximum when it is at equilibrium. The reaction that gets maximum negative free energy change is when it is at equilibrium. In the given reaction, the compound that gets maximum negative free energy change is Glucose-6-phosphate.

So, the correct answer is Glucose-6-phosphate (glucose-6-phosphate).",0.096153846,7.54E-232,0,0,0,0.015384615,0.25,213
"5 The following findings will show what kind of innate structure of neonatal respiratory distress and cyanosis (cyanosis) symptoms at rest, and after crying mouth of cyanosis situation is alleviated?
",FCT,Bilateral choanal atresia (bilateral choanal atresia),"The student's answer is correct.

Congenital diaphragmatic hernia (congenital diaphragmatic hernia) is the correct answer.",0.108695652,1.02E-231,0,0,0,0,0,279
"The presence in the right cardiac catheterization of an average pressure of the pulmonary artery> of 25 mm Hg and a pulmonary pressure (or capillary)> of 15 mm Hg, is defining:",FCT,Idiopathic pulmonary arterial hypertension.,"The student's answer is correct.

The presence in the right cardiac catheterization of an average pressure of the pulmonary artery > of 25 mm Hg and a pulmonary pressure (or capillary) > of 15 mm Hg, is defining pulmonary arterial hypertension associated with connective tissue disease.

The correct answer is Pulmonary arterial hypertension associated with connective tissue disease.",0.340909091,9.08E-79,0.149999998,0.076923076,0.149999998,0.052631579,0.75,236
Inferior thyroid artery is a branch of :,FCT,Thyrocervical trunk,"Correct answer: Thyrocervical trunk

Explanation: The inferior thyroid artery is a branch of the thyrocervical trunk.
Dorsal scapular artery is a branch of the subscapular artery, which is a branch of the axillary artery.",0.328947368,2.86E-155,0.173913042,0.079999999,0.173913042,0.058823529,1,181
A 72-year-old female is brought in by ambulance after being found down in her home. Her daughter discovered her after returning from work and does not know how long she has been down. Physical exam reveals right sided paralysis with a positive babinski sign. She is also found to produce strained stuttering speech with no perceivable meaning. She is unable to follow any instructions and cannot repeat speech. An MRI is obtained showing a left MCA infarct. Damage to which of the following structures is most likely to be responsible for her language deficits?,FCT,Arcuate fasciculus + Inferior frontal gyrus + superior temporal gyrus,"The student's answer is correct.

Explanation:
The left inferior frontal gyrus (Broca's area) is responsible for speech production and articulation. Damage to this area can result in a nonfluent aphasia, characterized by difficulty with articulation, speech apraxia, and mutism. The arcuate fasciculus connects the left inferior frontal gyrus to the left posterior superior temporal gyrus (Wernicke's area) and is involved in language processing. Damage to the arcuate fasciculus does not result in a nonfluent aphasia, but rather an impaired comprehension.",0.416527406,8.20E-79,0.163934424,0.077922076,0.163934424,0.036144578,0.375,305
Serum sickness syndrome is:,FCT,Systemic arthus reaction,"Correct answer: Systemic arthus reaction

Justification: Systemic Arthus reaction is a type of type III hypersensitivity reaction. It is characterized by the deposition of immune complexes in blood vessels leading to anaphylaxis. It is seen with the administration of heterologous proteins such as in case of serum sickness.
Ref: Ananthanarayan and Panikers textbook of pathology 9th edition page no 104.",0.271867612,8.26E-79,0.119999999,0.066666666,0.119999999,0.05,1,170
