question,targets,base_model
"Hot Coffee, Mississippi sometimes shares a zipcode with a nearby city with what population at the 2010 census?",1,1
Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?,1,1
"Pearl Lowe and Alison Goldfrapp, is of which nationality?",0,1
Which British company whose majority of its business interests are in Asia was related to the London Based Trading house Matheson & Company?,0,1
"What man, also known as mi Sde-Or, created a military self-defense system developed for the Israel Defense Forces?",0,1
Do musicians Robert Fleischman and Jimmy Barnes have the same nationality?,1,1
"What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?",1,1
When was Fannie Lee Chaney's son born?,0,1
"The Canada Memorial in Green Park, London, United Kingdom, commemorates members of the Canadian Forces killed during the First and Second World Wars, the memorial was the result of lobbying and fund raising, much of it in Canada, by the former Canadian media tycoon Conrad Moffat Black, his title is what, of this British former newspaper publisher and author?",0,1
WNP-3 and WNP-5 were constructed by the agency formed in which year?,1,1
"he Central Harbourfront is a waterfront site it is the result of Central and Wan Chai Reclamation, and it sits to the east of the International Finance Centre (IFC), a skyscraper and an integrated commercial development on the waterfront of the Central District, of which territory?",0,1
What city does Bundestag and Reichstag building have in common?,1,1
"Which musician, Edwyn Collins or Jimmie Ross, played the bass guitar?",0,1
"what is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?",0,1
 Teri W. Odom is a member of a scientific journal first published in 2007 by who?,1,1
What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?,1,1
"Which American singer-songwriter known as ""the Caruso of Rock"", recorded on the Monument Records label and had hits such as ""Pretty One,"" and ""Uptown""?",0,1
"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?",0,1
Abraham Weinberg was a suspect in the killing of which Irish-American hitman?,1,1
 Benjamin Halfpenny was a footballer for a club that plays its home matches where?,1,1
"The 2000–01 NBA season was the Jazz's 27th season in the National Basketball Association, and 22nd season in Salt Lake City, Utah, after the retirement of Jeff Hornacek, the Jazz signed free agents John Starks, and who?",0,1
What was population of the city where the Dutch retired footballer Foeke Booy born?,1,1
In what year was the company that co-developed and distributed the BlackBerry DTEK60 founded?,0,1
Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,0,1
"Mookychick is an independent daily online magazine and community with more than 100,000 readers a month and over 5,000 forum members, content includes analysis of current sociopolitical events, social and cultural trends, alternative fashion, movies, books, music and arts and crafts from a feminist perspective, in contrast with feminist publications and communities such as which women's lifestyle magazine that is published six times a year, and is published by Debbie Stoller and Laurie Henzel? ",0,1
Der Mond was composed by the man who was best known for what cantata?,1,1
Mackenzie Davis appeared in the 2013 Canadian romantic comedy film directed by whom?,0,1
The Developing Communities Project's first executive director was which former President?,0,1
"Jane's Addiction and Weeping Willows, play which genre of music?",0,1
"Throne of Glass is a young adult high fantasy novel series, by which bestselling American fantasy author?",1,1
"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?",0,1
Axle Whitehead was a part of an American comedy-drama television series that is a remake of the British series with the same name set in what city?,1,1
Were both Joseph Roth and Cid Corman authors?,1,1
What was the event that Afghanistan competed in for the first time in 2017 officially known as?,0,1
Who was the director of the 2001 American romantic comedy film written by Marc Klein in which Lucy Gordon had a small role?,0,1
What hamlet and census designated place was the location of the only pay-per-view Bunkhouse Stampede?,1,1
La Barredora was a gang that declared war on the leader of the cartel based where?,0,1
What year did the chairman of the Jenkins Commission die?,0,1
"Who was born first, Odysseas Elytis or Cornel West?",1,1
" ""Let Me Out"" is a song released as the fifth single from what band's fifth studio album ""Humanz"" which was recorded in London, Paris, New York City, Chicago, and Jamaica ?",1,1
Up to how far off can the Deal Timeball be from Coordinated Universal Time?,0,1
"Superheaven and Oceansize, are bands of which shared genre?",1,1
What nationality was a  historical drama film directed by?,1,1
"Who has more scope of profession, Richard Ford or Robert E. Howard?",0,1
The American Aircraft Penetrator was modified from a helicopter produced by what nation's military?,0,1
"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?",0,1
What South Korean sitcom starred a South Korean singer and actress who began her music career at the age of 15?,0,1
Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on what show?,0,1
"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?",1,1
"Which movie was released first, The Hunchback of Notre Dame or Saludos Amigos?",1,1
In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?,1,1
The mother of the vice chair of Hillary Clinton's 2016 campaign for President is the director of what institue?,0,1
"Michael Ralph DeVito (born June 10, 1984) is a former American football defensive end, he  the National Football League (NFL), DeVito attended high school at Nauset Regional High School an NEASC accredited high school located in North Eastham, in which state?",0,1
"""Apocalypic"" is a song sung by Lizzy Hale from which group? ",0,1
Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?,1,1
"Who is the former professional tennis player from Italy, Chris Evert or Mara Santangelo?",0,1
Who directed a film that included Sarah Manninen?,0,1
"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?",0,1
"At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?",0,1
"How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program",0,1
 Marion is approximately 50 mi north of a city that is the third-most populous what in the U.S.?,0,1
Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?,1,1
"Which is currently more valuable, Temagami-Lorrain Mine or Meadowbank Gold Mine?",0,1
St James Street appears as a segment of Whitecross Street on the 1610 map of the Monmouth by an English historian best known as a mapmaker of what perior?,1,1
The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,1,1
"Which city is the American rock band, that released their album on March 19, 2012, from?",0,1
The Rossendale Free Press serves the town how far north of Manchester?,1,1
Which american president's father was a farmer and he was a former US representative from NY?,1,1
The End of the Innocence was a single by which former member of the Eagles?,1,1
What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?,1,1
Which Lightweight division mixed martial artist founded the American Combat Association?,1,1
Which video game producers worked with an English film director to produce a film about sports?,0,1
Who won a Nobel Prize in 1943 and is associated with Max Volmer?,0,1
Who was born first Neil LaBute or H. Bruce Humberstone?,0,1
Were Eatza Pizza and Your Pie founded in the same state?,0,1
Who is younger Mary Ramsey or Lee Ranaldo ?,0,1
What type of species is a Boreo-arctic Montane species found in the most northerly of the abstract five major circles of latitude as shown on maps of the Earth?,0,1
What year was the thesis supervisor of Jocelyn Bell Burnell awarded the Eddington Medal?,1,1
"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",0,1
British band The Wanted's third album includes a song with a title about which Barbadian superstar?,1,1
"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",0,1
How many test centuries did the grandfather of Fabian Cowdrey make for England ?,0,1
Anti-Semetism in the 21st Century: The Resurgence was hosted by a journalist and writer who is an anchor of what show?,1,1
Which of the following is best known for publicly championing a terminal patient's right to die via physician-assisted suicide: Christy Canyon or Jack Kevorkian?,1,1
The plaintiff in the civil suit Paul v. Clinton was born in which year ?,1,1
How long was the rule of the dynasty that was active when the Rosetta Stone was inscribed?,1,1
Sojourners and KO Magazine share what publication format?,0,1
"At which stadium does the team, for which Baltimore's Marching Ravens is the official marching band, play its home games?",0,1
"The John Messer Barn is a historic structure within the Great Smoky Mountains National Park in Sevier County, Tennessee, this barn is a different Messer Barn in which valley, in the Great Smoky Mountains of North Carolina, located in the Southeastern United States?",1,1
"The NBC-affiliated television station, owned by an American telecommunications company whose founder is Julian Sinclair Smith, called WJAR is more commonly known as what?",1,1
What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?,1,1
"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",1,1
"Who is the mother of the prince that had allegations made against him related to the lawsuit ""Two Jane Does v US""?",0,1
In between Memphis International Airport and Southwest Georgia Regional Airport which one is in Tennessee?,1,1
"Which airport is closer to Cleaveland, Ohio, Luis Muñoz Marín International Airport or Rickenbacker International Airport?",1,1
What profession do Kōbō Abe and Agatha Christie share?,1,1
What all female high school is located in a town in Sunyani West District  in the Brong-Ahafo Region of Ghana?,0,1
"Jinchang and Liling, are located in which country?",1,1
What type of vegetation does Fothergilla and Clerodendrum have in common?,0,1
What are the plants in the same genus as the Dendranthema boreale sometimes called?,0,1
Who is the composer Howard Ashman worked with on his musical released in 1982? ,1,1
What actor portrayed a character in a television series about a fictional race of superhumans appearing in American comic books published by Marvel Comics?,1,1
What comic book published the female superhero created by J. H. Williams III?,0,1
What country of origin does Nick Kroll and Get Him to the Greek have in common?,0,1
"The character portrayed in ""Giuliani Time"" is a real-life informal adviser to the White House in which area?",1,1
Thomas Harris is a novelist who is famous for creating which character?,0,1
"Who founded the college attended by Thomas Balston, member of the Whatman paper-making family?",1,1
Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of this work based on what Rusian folk tale?,1,1
"Which director is American, Mark L. Lester or Ken Loach?",0,1
Kerrygold Irish Cream Liqueur is owned by a company that mainly sells what type or product?,1,1
The USS LST-510 is a ferry between New London and Orient but what is the population of Orient?,1,1
"Which band has more members, Muse or The Raconteurs?",1,1
Titus is the soundtrack to the film that starred which actors?,0,1
"The producer of The Wreckage of Stars also produced albums for Texas in July, Everclear, and what other American metalcore band from Lancaster, Pennsylvania?",1,1
"What magazine an American monthly food and lifestyle magazine founded in 1987, Cooking Light or Hot Rod?",0,1
"Which tennis player has received a higher World singles ranking, Xavier Malisse or Virginia Wade?",0,1
"Atoms for Peace are an English-American experimental rock supergroup comprising Radiohead singer Thom Yorke, is an English musician and composer, best known as the singer and principal songwriter of which band?",1,1
What was the year founded of the football team that Aaron Galindo is currently a part of?,0,1
What is the nationality of the singer-songwriter who wrote the poetry collection Early Work ?,0,1
Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,1,1
Where did the father of Maria Brontë spend most of his adult life?,0,1
What is the name of the architect who designed the Lincoln Memorial dedicated in 1922?,0,1
Toronto's Insight Sports is partially owned by what Canadian businessman?,1,1
Who was born first George Marshall or Allan Dwan ?,1,1
"The 2005 documentary ""The Aristocrats"" was dedicated to a comedian that received how many Emmy Awards?",0,1
The Nike Mercurial Vapor is a football shoe worn by which Colombian striker?,0,1
Lendley C. Black is Chancellor of a university offering how many majors?,0,1
West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ,1,1
What is the historical name of the acid that dissolves phenazine?,1,1
"Who completed more books in their lifetime, Anne Frank or John Kennedy Toole?",1,1
"Die Meistersinger von Nürnberg and Iphigénie en Aulide, are which type of music drama?",0,1
"What side of town is the Chicago Mayer-endorsed, 38th Ward of the City of Chicago alderman serving?",0,1
What American professional basketball player born in 1986 was awarded the Dave Gavitt Trophy during the 2007 Big East Men's Basketball Championship? ,1,1
Where is the company that built Woodvale Historic District located?,1,1
"The Time: Night, is a novella by which Russian writer, novelist and playwright?",1,1
From what country are both Maurice Newman and Macquarie University? ,1,1
Were Up and The Watercolor released in the same year?,1,1
Which mentor in the 3rd Sa Re Ga Ma Pa Challenge died in Kokilaben hospital?,0,1
"What city is located in Gauteng, South Africa with a suburb called Kew?",1,1
"What electronic band's  song ""Dangerous"" was certified gold by the RIAA in May 2015?",0,1
Are David Gordon Green and Larry Hagman both actors?,1,1
For which North American auto racing series launched by the Sports Car Club of America does Jack Baldwin drive a Porsche Cayman S?,1,1
Are Calochone and Adlumia both plants?,0,1
What year was the English actor and film producer born in who also starred in an adaptation with Renee Zellweger?,0,1
"Who's the Hungarian-born US film director renowned for adapting Stephen King novellas to the screen, including The Mist and The Green Mile?",0,1
" Which species, Cardwellia or Ochagavia, is native to South America?",1,1
Are Grasshopper and Sake bomb both types of drinks?,0,1
"Donington School F.C. was an English football club, based in which large village and civil parish in the South Holland district of Lincolnshire, England?",1,1
Who achieved fame starring alongside John Richard Schneider in a television series?,1,1
"Who was born first, Joe Manganiello or Kirk Kerkorian?",0,1
Lee Il-hyung's first feature film was released by which company ?,1,1
"Rick Seibold has worked with what artist known for her role in ""Big Time Rush""?",0,1
"Where is the band that wrote ""The Drug in Me Is You"" based in?",0,1
Who wrote and directed the film in which Adam Beach played Slipknot?,1,1
"Alamgir joined Meesha Shafi, Strings, Ali Azmat and Shahzad Hasan as a judge on which popular show?",1,1
What network is the reality TV Show that features American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?,0,1
What is the name of the Los Angeles resident who directed a 2016 American superhero film about a surgeon who learns the mystic arts after a career-ending car accident?,0,1
Emprise Bank has branches in a city situated along what river?,0,1
Who represents the district that Gawthorpe is in?,0,1
"George Palmer Putnam, was an American publisher, author and explorer, known for his marriage to who, which American aviation pioneer and author, and was the first female aviator to fly solo across the Atlantic Ocean?",1,1
Emma Rose Kenney's roll in a Blue Sky Studios produced film earned how much money?,1,1
The President of Egypt that changed the Hamayouni Decree was born in what year?,0,1
Is Lysichiton and Ageratum geus in the same family?,1,1
A 2001 Indian epic sports-drama film starred an actor who was also know for his role in what 1999 movie?,1,1
"Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?",0,1
"Javier Mora, is a Mexican boxer in the Heavyweight division, he was defeated by Alexander Vladimirovich ""Sasha"" Povetkin, by a 5-round TKO, in which country?",0,1
"Dixit Dominus is a psalm setting by who, which was a German, later British, baroque composer who spent the bulk of his career in London, becoming well known for his operas, oratorios, anthems, and organ concertos?",0,1
Who is the Russian figure skater who danced with a Russian pair skater and in 1988 and 1994.,1,1
It Takes a Family is a response to this 1996 book that was published by who,1,1
The 2016 Washington State Cougars were led by the coach who previously helmed which other team?,1,1
"The San Diego Gulls are a professional ice hockey team in the American Hockey League (AHL) which began playing in the 2015–16 season, the Gulls play their home games at which indoor arena located at Sports Arena Blvd in Point Loma, San Diego?",1,1
Which show connects Arthur Darvill and Matt Smith?,1,1
"The Acolytes Protection Agency consisted of what wrestler born November 29, 1966",0,1
"Which K283BV artist is from Columbus, Ohio?",0,1
"What host of The Voice UK was in ""Doctor Who""?",0,1
What era was the man associated with Fanny Talbot the leading art critic of?,1,1
Who wrote the song that caused the Columbia Kingsmen to change their name to Sha Na Na?,1,1
"Which guest who appeared in the album ""Animal Ambition"" was born with the name Albert Johnson? ",1,1
In what city was the rock band formed which was paid tribute by Listen Without Distraction? ,1,1
What is found in Prochlorococcus and essential for photosynthesis?,0,1
"In which theatre in Los Angeles did the late-night talk show host of ""Chelsea Lately"" host the 2010 MTV Video Music Awards?",0,1
"Brian Keith ""Herbie"" Flowers, is an English musician specialising in electric bass, double bass and tuba, he has contributed to the recording Give My Regards to Broad Street is the fifth studio album by who, as well as the soundtrack album to his 1984 film of the same name?",0,1
The First Silesian war was fought against the King of Prussia who died in what year?,1,1
"The Chandrasekhar limit was named after an astrophysicist, what is the name of his uncle of which is also a novel laureate?",1,1
What is the meaning of Trevor Prangley's other division the fought in aside from Light Weight?,0,1
"Who acted in ""Shanghai Knights"" and voiced Lightning McQueen in the ""Cars"" franchise?",1,1
Which event was a surprise military strike by the Imperial Japanese Navy Air Service while Magruder Hill Tuttle was a senior officer in the United States Navy?,0,1
"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÉ Television, the show aired between 2010 and 2014?",1,1
Who did the professional tennis player currently ranked World No. 1 in men's singles defeat in the 2017 Barcelona Open Banco Sabadell - Singles?,1,1
Which league does the 2010 head coach of the SMU Mustangs football team currently coach in?,1,1
Device – Voice – Drum is the fourth live album by a band that produced how many gold albums?,1,1
"The band that released the album ""Let's Cheers to This"" is from what Florida city?",1,1
Which breed of dog is now extinct: Chinese Crested Dog or the Chien-gris?,0,1
Which African-American composer co-wrote Air?,1,1
"Anil V. Kumar,  is a television and film director and producer in India, his production house, Flying Turtle Films co-produced the movie ""Zanjeer"" starring Priyanka Chopra and which actor, and entrepreneur, who works in Telugu cinema?",0,1
