Question,Answer
how can y. enterocolitica infections be treated for Yersinia ?,"Uncomplicated cases of diarrhea due to Y. enterocolitica usually resolve on their own without antibiotic treatment. However, in more severe or complicated infections, antibiotics such as aminoglycosides, doxycycline, trimethoprim-sulfamethoxazole, or fluoroquinolones may be useful."
What is (are) Parasites - Lymphatic Filariasis ?,Frequently Asked Questions (FAQs) Vector Information
What is (are) Parasites - Loiasis ?,Loiasis is an infection caused by the parasitic worm Loa loa.
Who is at risk for Omsk Hemorrhagic Fever (OHF)? ?,"In areas where rodent reservoirs and tick species are prevalent, people with recreational or occupational exposure to rural or outdoor settings (e.g., hunters, campers, forest workers, farmers) are potentially at increased risk for OHF by contact with infected ticks and animals. Furthermore, those in Siberia who hunt and trap muskrats specifically are at higher risk for OHF. Exposure may also occur in the laboratory environment."
How to diagnose Omsk Hemorrhagic Fever (OHF) ?,OHF virus may be detected in blood samples by virus isolation in cell culture or using molecular techniques such as PCR. Blood samples can also be tested for antibody presence using enzyme-linked immunosorbent seologic assay (ELISA).
What are the treatments for Omsk Hemorrhagic Fever (OHF) ?,"There is no specific treatment for OHF, but supportive therapy is important. Supportive therapy includes the maintenance of hydration and the usual precautions for patients with bleeding disorders. Though rare, OHF can cause hearing loss, hair loss, and behavioral or psychological difficulties associated with neurological conditions and long term supportive case may be needed."
How to prevent Omsk Hemorrhagic Fever (OHF) ?,"There is no vaccine currently available for OHF, but vaccines for tick-borne encephalitis disease (TBE) have been shown to confer some immunity and may be used for high-risk groups. Additionally, utilizing insect repellents and wearing protective clothing in areas where ticks are endemic is recommended."
What is (are) Parasites - Enterobiasis (also known as Pinworm Infection) ?,"A pinworm (""threadworm"") is a small, thin, white roundworm (nematode) called Enterobius vermicularis that sometimes lives in the colon and rectum of humans. Pinworms are about the length of a staple. While an infected person sleeps, female pinworms leave the intestine through the anus and deposit their eggs on the surrounding skin."
Who is at risk for Hendra Virus Disease (HeV)? ?,"Transmission of Hendra virus to humans can occur after exposure to body fluids and tissues or excretions of horses infected with Hendra virus. Horses may be infected after exposure to virus in the urine of infected flying foxes. To date, no human-to-human transmission has been documented."
What are the symptoms of Hendra Virus Disease (HeV) ?,"After an incubation of 9-16 days, infection with Hendra virus can lead to respiratory illness with severe flu-like signs and symptoms. In some cases, illness may progress to encephalitis. Although infection with Hendra virus is rare, the case fatality is high: 4/7 (57%)."
What are the treatments for Hendra Virus Disease (HeV) ?,"The drug ribavirin has been shown to be effective against the viruses in vitro, but the clinical usefulness of this drug is uncertain. A post-exposure therapy with a Nipah/Hendra neutralizing antibody, efficacious in animal models is in human preclinical development stages in Australia."
What is (are) Parasites - Zoonotic Hookworm ?,"There are many different species of hookworms, some are human parasites and some are animal parasites. People can be infected by larvae of animal hookworms, usually dog and cat hookworms. The most common result of animal hookworm infection is a skin condition called cutaneous larva migrans."
What are the treatments for Parasites - Zoonotic Hookworm ?,"The zoonotic hookworm larvae that cause cutaneous larva migrans (CLM) usually do not survive more than 5 – 6 weeks in the human host. In most patients with CLM, the signs and symptoms resolve without medical treatment. However, treatment may help control symptoms and help prevent secondary bacterial infections. Antiparasitic treatments may be prescribed by your health care provider. More on: Resources For Health Professionals: Treatment"
What is (are) Parasites - African Trypanosomiasis (also known as Sleeping Sickness) ?,Frequently Asked Queestions (FAQs)
What is (are) Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection) ?,Angiostrongylus cantonensis is a parasitic worm of rats. It is also called the rat lungworm. The adult form of the parasite is found only in rodents. Infected rats pass larvae of the parasite in their feces. Snails and slugs get infected by ingesting the larvae. These larvae mature in snails and slugs but do not become adult worms. The life cycle is completed when rats eat infected snails or slugs and the larvae further mature to become adult worms.
What is (are) Parasites - Ascariasis ?,Ascaris is an intestinal parasite of humans. It is the most common human worm infection. The larvae and adult worms live in the small intestine and can cause intestinal disease.
Who is at risk for Parasites - Ascariasis? ?,"Ascaris infection is one of the most common intestinal worm infections. It is found in association with poor personal hygiene, poor sanitation, and in places where human feces are used as fertilizer. Geographic Distribution The geographic distributions of Ascaris are worldwide in areas with warm, moist climates and are widely overlapping. Infection occurs worldwide and is most common in tropical and subtropical areas where sanitation and hygiene are poor."
How to diagnose Parasites - Ascariasis ?,"The standard method for diagnosing ascariasis is by identifying Ascaris eggs in a stool sample using a microscope. Because eggs may be difficult to find in light infections, a concentration procedure is recommended."
What are the treatments for Parasites - Ascariasis ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of Ascaris infections. Infections are generally treated for 1-3 days. The drugs are effective and appear to have few side effects. More on: Resources for Health Professionals: Treatment"
How to diagnose 2009 H1N1 Flu ?,Content on this page was developed during the 2009-2010 H1N1 pandemic and has not been updated. - The H1N1 virus that caused that pandemic is now a regular human flu virus and continues to circulate seasonally worldwide. - The English language content on this website is being archived for historic and reference purposes only. General Information Information for Health Care Professionals
Who is at risk for Crimean-Congo Hemorrhagic Fever (CCHF)? ?,"Animal herders, livestock workers, and slaughterhouse workers in endemic areas are at risk of CCHF. Healthcare workers in endemic areas are at risk of infection through unprotected contact with infectious blood and body fluids. Individuals and international travelers with contact to livestock in endemic regions may also be exposed."
How to prevent Lujo Hemorrhagic Fever (LUHF) ?,"Although rodent control would be desirable, it will not be a successful strategy for preventing Lujo hemorrhagic fever cases caused by exposures outdoors. As for other hemorrhagic fevers, full barrier nursing procedures should be implemented during management of suspected or confirmed LUHF cases (no infection occurred after their implementation in South Africa)."
What are the symptoms of Acinetobacter in Healthcare Settings ?,"Acinetobacter causes a variety of diseases, ranging from pneumonia to serious blood or wound infections, and the symptoms vary depending on the disease. Acinetobacter may also “colonize” or live in a patient without causing infection or symptoms, especially in tracheostomy sites or open wounds."
How to prevent Acinetobacter in Healthcare Settings ?,"Acinetobacter can live on the skin and may survive in the environment for several days. Careful attention to infection control procedures, such as hand hygiene and environmental cleaning, can reduce the risk of transmission."
What are the treatments for Acinetobacter in Healthcare Settings ?,Acinetobacter is often resistant to many commonly prescribed antibiotics. Decisions on treatment of infections with Acinetobacter should be made on a case-by-case basis by a healthcare provider. Acinetobacter infection typically occurs in ill patients and can either cause or contribute to death in these patients.
"What is (are) Parasites - Lice - Pubic ""Crab"" Lice ?","Also called crab lice or ""crabs,"" pubic lice are parasitic insects found primarily in the pubic or genital area of humans. Pubic lice infestation is found worldwide and occurs in all races, ethnic groups, and levels of society."
"How to diagnose Parasites - Lice - Pubic ""Crab"" Lice ?","Pubic lice are short and crab-like and appear very different from head and body lice. Pubic lice infestation is diagnosed by finding a “crab” louse or eggs on hair in the pubic region or, less commonly, elsewhere on the body (eyebrows, eyelashes, beard, mustache, armpit, perianal area, groin, trunk, scalp). Although pubic lice and nits can be large enough to be seen with the naked eye, a magnifying lens may be necessary to find lice or eggs."
What is (are) Parasites - Paragonimiasis (also known as Paragonimus Infection) ?,Frequently Asked Queestions (FAQs)
What are the treatments for Parasites - Paragonimiasis (also known as Paragonimus Infection) ?,Paragonimus infections are treatable by your health care provider. Prescription medications are available. More on: Resources for Health Professionals: Treatment
How to prevent Parasites - Paragonimiasis (also known as Paragonimus Infection) ?,Never eat raw freshwater crabs or crayfish. Cook crabs and crayfish for to at least 145°F (~63°C). Travelers should be advised to avoid traditional meals containing undercooked freshwater crustaceans. More on: Fight BAC: Safe Food Handling
How to diagnose Kyasanur Forest Disease (KFD) ?,"Diagnosis can be made in the early stage of illness by molecular detection by PCR or virus isolation from blood. Later, serologic testing using enzyme-linked immunosorbent serologic assay (ELISA) can be performed."
What are the treatments for Kyasanur Forest Disease (KFD) ?,"There is no specific treatment for KFD, but early hospitalization and supportive therapy is important. Supportive therapy includes the maintenance of hydration and the usual precautions for patients with bleeding disorders."
How to prevent Kyasanur Forest Disease (KFD) ?,A vaccine does exist for KFD and is used in endemic areas of India. Additional preventative measures include insect repellents and wearing protective clothing in areas where ticks are endemic.
What is (are) Parasites - Cyclosporiasis (Cyclospora Infection) ?,"Cyclospora cayetanensis is a parasite composed of one cell, too small to be seen without a microscope. This parasite causes an intestinal infection called cyclosporiasis."
What is (are) Parasites - Trichinellosis (also known as Trichinosis) ?,"Trichinellosis, also called trichinosis, is caused by eating raw or undercooked meat of animals infected with the larvae of a species of worm called Trichinella. Infection occurs commonly in certain wild carnivorous (meat-eating) animals such as bear or cougar, or omnivorous (meat and plant-eating) animals such as domestic pigs or wild boar."
How to diagnose Parasites - Trichinellosis (also known as Trichinosis) ?,"A diagnosis of trichinellosis is made in patients whose signs and symptoms are compatible with trichinellosis, have a positive laboratory test for Trichinella, and who can recall eating raw or undercooked pork or wild game meat. Laboratory diagnosis of Trichinella infection is most often made by a Trichinella antibody test. In some cases a muscle biopsy may be performed. More on: Resources for Health Professionals: Diagnosis"
What are the treatments for Parasites - Trichinellosis (also known as Trichinosis) ?,"Safe and effective prescription drugs are available to treat both Trichinella infection and the symptoms that occur as a result of infection. Treatment should begin as soon as possible; a doctor will make the decision to treat based upon symptoms, exposure to raw or undercooked meat, and laboratory test results. More on: Resources For Health Professionals: Treatment"
What is (are) Striatonigral Degeneration ?,"Striatonigral degeneration is a neurological disorder caused by a disruption in the connection between two areas of the brain-the striatum and the substantia nigra. These two areas work together to enable balance and movement. Striatonigral degeneration is a type of multiple system atrophy (MSA). Symptoms of the disorder resemble some of those seen in Parkinson's disease, including rigidity, instability, impaired speech, and slow movements."
What are the treatments for Striatonigral Degeneration ?,"There is no cure for striatonigral degeneration, and treatments for the disorder have variable success. Treatments used for Parkinson's disease are recommended. However, unlike Parkinson's disease, striatonigral degeneration is not responsive to levodopa. Dopamine and anticholinergics provide some benefit. Generally, treatment is reevaluated as the disorder progresses."
What is the outlook for Striatonigral Degeneration ?,Striatonigral degeneration progresses slowly. Some patients have normal life expectancy.
what research (or clinical trials) is being done for Striatonigral Degeneration ?,The NINDS supports and conducts research on disorders of the brain and nervous system such as striatonigral degeneration. This research focuses on finding ways to prevent and treat these disorders.
What are the treatments for Empty Sella Syndrome ?,"Unless the syndrome results in other medical problems, treatment for endocrine dysfunction associated with pituitary malfunction is symptomatic and supportive. Individuals with primary ESS who have high levels of prolactin may be given bromocriptine. In some cases, particularly when spinal fluid drainage is observed, surgery may be needed."
What is the outlook for Empty Sella Syndrome ?,"ESS is not a life-threatening condition. Most often, and particularly among those with primary ESS, the disorder does not cause health problems and does not affect life expectancy."
What is the outlook for Primary Lateral Sclerosis ?,"PLS is not fatal. There is no cure and the progression of symptoms varies. Some people may retain the ability to walk without assistance, but others eventually require wheelchairs, canes, or other assistive devices."
what research (or clinical trials) is being done for Primary Lateral Sclerosis ?,"The NINDS conducts a broad range of research on neuromuscular disorders such as PLS. This research is aimed at developing techniques to diagnose, treat, prevent, and ultimately cure these devastating diseases."
What are the treatments for Dystonias ?,"No one treatment has been found to be universally effective. Instead, doctors use a variety of therapies (medications, surgery, and other treatments such as physical therapy, splinting, stress management, and biofeedback) aimed at reducing or eliminating muscle spasms and pain. Since response to drugs varies among individuals and even in the same person over time, the most effective therapy is often individualized."
What is the outlook for Dystonias ?,"The initial symptoms can be very mild and may be noticeable only after prolonged exertion, stress, or fatigue. Dystonias often progress through various stages. Initially, dystonic movements are intermittent and appear only during voluntary movements or stress. Later, individuals may show dystonic postures and movements while walking and ultimately even while they are relaxed. Dystonic motions may lead to permanent physical deformities by causing tendons to shorten."
What are the treatments for Farber's Disease ?,Currently there is no specific treatment for Farbers disease. Corticosteroids may help relieve pain. Bone marrow transplants may improve granulomas (small masses of inflamed tissue) on individuals with little or no lung or nervous system complications. Older persons may have granulomas surgically reduced or removed.
What is the outlook for Farber's Disease ?,"Most children with the classic form of Farbers disease die by age 2, usually from lung disease. Children born with the most severe form of the disease usually die within 6 months, while individuals having a milder form of the disease may live into their teenage years or young adulthood."
What are the treatments for Familial Periodic Paralyses ?,"Treatment of the periodic paralyses focuses on preventing further attacks and relieving acute symptoms. Avoiding carbohydrate-rich meals and strenuous exercise, and taking acetazolamide daily may prevent hypokalemic attacks. Attacks can be managed by drinking a potassium chloride oral solution. Eating carbohydrate-rich, low-potassium foods, and avoiding strenuous exercise and fasting, can help prevent hyperkalemic attacks. Dichorphenamide may prevent attacks."
What is the outlook for Familial Periodic Paralyses ?,"The prognosis for the familial periodic paralyses varies. Chronic attacks may result in progressive weakness that persists between attacks. Some cases respond well to treatment, which can prevent or reverse progressive muscle weakness."
what research (or clinical trials) is being done for Familial Periodic Paralyses ?,"The NINDS conducts and supports research on neuromuscular disorders such as the familial periodic paralyses. These studies are aimed at increasing knowledge about these disorders and finding ways to prevent, treat, and cure them."
What are the treatments for Todd's Paralysis ?,There is no treatment for Todd's paralysis. Individuals must rest as comfortably as possible until the paralysis disappears.
What is the outlook for Todd's Paralysis ?,Todd's paralysis is an indication that an individual has had an epileptic seizure. The outcome depends on the effects of the seizure and the subsequent treatment of the epilepsy.
what research (or clinical trials) is being done for Todd's Paralysis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to Todd's paralysis in its clinics and laboratories at The National Institutes of Health (NIH), and supports additional research through grants to major medical institutions across the country. Much of this research focuses on finding successful methods to prevent Todd's paralysis in individuals with epilepsy."
What is the outlook for Syncope ?,"Syncope is a dramatic event and can be life-threatening if not treated properly. Generally, however, people recover completely within minutes to hours. If syncope is symptomatic of an underlying condition, then the prognosis will reflect the course of the disorder."
what research (or clinical trials) is being done for Syncope ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to syncope in laboratories at the NIH and support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent and treat syncope.
What is the outlook for Tuberous Sclerosis ?,"The prognosis for individuals with TSC depends on the severity of symptoms. Individuals with mild symptoms generally do well and live long productive lives, while individuals with the more severe form may have serious disabilities. In rare cases, seizures, infections, or tumors in vital organs such as the kidneys and brain can lead to severe complications and even death. However, with appropriate medical care, most individuals with the disorder can look forward to normal life expectancy."
What are the treatments for Batten Disease ?,"As yet, no specific treatment is known that can halt or reverse the symptoms of Batten disease. However, seizures can sometimes be reduced or controlled with anticonvulsant drugs, and other medical problems can be treated appropriately as they arise. Physical therapy and occupational therapy may help patients retain functioning as long as possible."
What is the outlook for Batten Disease ?,"Over time, affected children suffer cognitive impairment, worsening seizures, and progressive loss of sight and motor skills. Eventually, children with Batten disease become blind, bedridden, and demented. Batten disease is often fatal by the late teens or twenties."
What are the treatments for Holoprosencephaly ?,There is no standard course of treatment for holoprosencephaly. Treatment is symptomatic and supportive.
What is the outlook for Holoprosencephaly ?,The prognosis for individuals with the disorder depends on the severity of the brain and facial deformities.
what research (or clinical trials) is being done for Holoprosencephaly ?,"The NINDS supports and conducts a wide range of studies that focus on identifying and learning more about the factors involved in normal brain development. Recent research has identified specific genes that cause holoprosencephaly. The knowledge gained from these fundamental studies provides the foundation for understanding how to develop new ways to treat, and potentially prevent, this disorder."
What is the outlook for Bell's Palsy ?,"The prognosis for individuals with Bell's palsy is generally very good. The extent of nerve damage determines the extent of recovery. With or without treatment, most individuals begin to get better within 2 weeks after the initial onset of symptoms and recover some or all facial function within 3 to 6 months."
What are the treatments for Multiple System Atrophy ?,"There is no cure for MSA. Currently, there are no treatments to delay the progress of neurodegeneration in the brain. But there are treatments available to help people cope with some of the more disabling symptoms of MSA. In some individuals, levodopa may improve motor function, but the benefit may not continue as the disease progresses."
What is the outlook for Multiple System Atrophy ?,"The disease tends to advance rapidly over the course of 5 to 10 years, with progressive loss of motor skills, eventual confinement to bed, and death. There is no remission from the disease. There is currently no cure."
what research (or clinical trials) is being done for Multiple System Atrophy ?,"The NINDS supports research about MSA through grants to major medical institutions across the country. Researchers hope to learn why alpha-synuclein buildup occurs in MSA and Parkinsons disease, and how to prevent it. Drugs that reduce the abnormal alpha-synuclein buildup may be promising treatments for MSA"
what research (or clinical trials) is being done for Giant Axonal Neuropathy ?,"The National Institute of Neurological Disorders and Stroke (NINDS) supports research related to GAN through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure inherited neurological disorders such as GAN."
What is the outlook for Thoracic Outlet Syndrome ?,"The outcome for individuals with TOS varies according to type. The majority of individuals with TOS will improve with exercise and physical therapy. Vascular TOS, and true neurogenic TOS often require surgery to relieve pressure on the affected vessel or nerve."
what research (or clinical trials) is being done for Thoracic Outlet Syndrome ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes at the National Institutes of Health support research in TOS through grants to major medical research institutions across the country. Much of this research focuses on finding better ways to diagnose and treat TOS.
